h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
1,la,JHU_CSSE-DECOM,2020-10-05,2020-10-10,1.857143,3.732143,6.5,13.14286,18.71428,20.98413,26.84416,35.07143,46.0,53.78571,64.22449,66.0,74.57143,88.78571,108.4286,132.625,136.3661,139.7558,142.7568,152.9696,163.1824,164.7143,164.7143,90.0
1,me,JHU_CSSE-DECOM,2020-10-05,2020-10-10,0.7142857,1.4,2.285714,3.11546,3.571429,3.857143,3.940183,4.18797,4.373626,4.714286,5.142857,5.22619,6.071429,6.982143,8.238095,8.967033,9.25,10.21429,14.325,14.87662,15.72078,16.14286,20.18367,1.0
1,md,JHU_CSSE-DECOM,2020-10-05,2020-10-10,21.52381,22.42857,25.85714,27.14286,29.85714,34.07143,39.0,40.85714,43.18681,43.57143,45.28571,46.23809,48.33333,50.71429,55.78572,60.18367,62.17857,65.48571,68.24571,69.08696,77.26785,82.76786,87.76191,38.0
1,ma,JHU_CSSE-DECOM,2020-10-05,2020-10-10,58.17857,59.14286,64.28572,80.25715,84.84415,86.28572,89.78572,91.42857,100.5714,102.2857,110.5714,115.2857,116.9803,120.1429,122.1429,124.4286,128.0714,129.7857,133.6286,143.5714,160.881,182.0714,276.9881,31.0
1,mi,JHU_CSSE-DECOM,2020-10-05,2020-10-10,40.65306,48.0,55.64286,61.71429,70.59524,74.85714,79.75,81.67857,86.52381,89.28571,93.39286,96.71429,102.0714,105.7857,113.1786,126.7143,136.2589,144.0952,150.8352,151.5,181.1786,217.75,284.3929,94.0
1,mn,JHU_CSSE-DECOM,2020-10-05,2020-10-10,46.28571,49.6,57.58442,60.02198,63.53846,70.61905,79.42857,81.48571,85.82857,87.14286,89.0,92.25714,95.32143,96.94506,105.2857,113.4762,119.5055,132.1143,147.8776,151.3077,179.9821,198.3125,281.6161,58.0
1,ms,JHU_CSSE-DECOM,2020-10-05,2020-10-10,58.85714,58.85714,60.43956,65.34286,70.40476,74.57143,75.14286,78.61905,80.21429,82.07143,84.82949,88.12698,90.97143,93.89796,99.0,104.2857,107.0,113.0,128.4762,152.4835,184.4286,184.4286,184.4286,85.0
1,mo,JHU_CSSE-DECOM,2020-10-05,2020-10-10,116.9464,121.7679,129.8571,144.2619,164.5268,168.6786,171.8571,182.8319,186.5536,193.5143,201.9286,208.0179,214.0,220.7143,238.4762,241.1701,249.0952,253.5714,263.6964,308.8571,376.5,388.25,555.6429,243.0
1,mt,JHU_CSSE-DECOM,2020-10-05,2020-10-10,1.714286,1.928571,3.285714,5.761905,6.771429,7.428571,9.043676,9.285714,9.285714,11.28571,14.21428,16.92857,19.66666,20.63158,20.93233,21.57143,23.25,27.23809,31.90476,38.07143,43.77551,59.58163,108.1429,23.0
1,ne,JHU_CSSE-DECOM,2020-10-05,2020-10-10,13.28571,14.05714,15.14286,19.57143,21.42857,22.33333,23.52381,24.40476,25.65306,26.46429,28.57143,30.08571,33.10204,33.20779,34.42857,36.17857,37.37802,37.57143,41.28571,42.94286,46.42857,49.02857,56.90476,22.0
