h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
1,ct,CEID-Walk,2020-08-09,2020-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.837,3.574,7.127,9.025,11.786,13.614,17.356,20.148,24.365,27.722,30.34,41.466,58.648,69.782,77.415,12.0
2,ct,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,4.386,8.729,14.781,19.915,26.686,30.244,38.532,41.742,46.864,61.688,79.218,90.739,97.584,7.0
3,ct,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,4.91,10.501,19.135,26.581,32.071,38.116,47.035,55.158,67.365,74.863,94.779,115.401,130.263,5.0
4,ct,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.214,12.056,15.571,23.855,28.367,38.469,46.166,50.6,80.939,91.873,109.573,118.087,161.565,3.0
1,de,CEID-Walk,2020-08-09,2020-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387,9.712,15.819,23.425,28.755,35.859,44.899,49.598,57.584,76.434,97.707,98.921,2.0
2,de,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.848,9.029,15.149,21.606,30.305,41.981,56.509,59.262,69.037,103.902,135.47,156.457,5.0
3,de,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,21.522,23.377,30.739,43.891,56.046,63.311,72.203,80.572,98.04,116.395,139.695,217.192,2.0
4,de,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,9.236,13.79,21.284,32.125,35.69,51.959,62.089,84.206,96.0,133.67,154.81,171.402,242.935,8.0
1,dc,CEID-Walk,2020-08-09,2020-08-15,0.0,0.0,0.0,0.564,1.841,2.465,3.242,3.699,4.003,4.519,4.895,5.403,5.806,6.213,6.553,6.844,7.979,8.291,8.893,9.637,10.597,11.756,12.696,7.0
2,dc,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,0.0,0.828,2.047,2.948,3.321,3.889,4.514,4.94,5.603,6.136,6.908,7.502,8.197,9.483,10.296,11.109,11.615,13.648,17.271,18.104,7.0
3,dc,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,0.876,1.578,2.157,2.911,3.934,4.674,5.961,7.021,7.632,8.647,9.523,10.174,10.767,11.209,12.647,14.065,15.668,16.296,17.543,1.0
4,dc,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,0.0,0.0,1.201,1.977,3.432,4.345,5.118,5.792,6.981,7.5,9.29,10.182,11.424,12.237,13.145,14.638,16.497,17.962,20.352,6.0
1,fl,CEID-Walk,2020-08-09,2020-08-15,446.65,574.768,698.741,815.065,849.611,923.05,963.146,997.287,1028.913,1044.419,1076.997,1117.16,1142.979,1168.967,1216.028,1240.894,1264.067,1340.533,1385.855,1415.411,1465.238,1629.578,1711.619,1236.0
2,fl,CEID-Walk,2020-08-09,2020-08-22,301.885,425.863,568.511,733.9,771.872,845.795,913.801,941.878,979.165,999.952,1033.259,1068.411,1118.216,1162.026,1193.794,1217.56,1294.336,1328.909,1372.458,1514.075,1638.717,1686.895,1754.488,929.0
3,fl,CEID-Walk,2020-08-09,2020-08-29,177.818,363.556,456.147,690.016,745.689,801.016,829.717,866.338,912.213,951.333,995.666,1087.277,1132.258,1169.946,1223.31,1296.134,1343.343,1389.913,1461.718,1608.738,1852.365,1908.155,1972.079,831.0
4,fl,CEID-Walk,2020-08-09,2020-09-05,19.571,208.82,350.351,583.708,721.891,769.48,838.835,892.172,933.818,989.783,1054.234,1092.619,1137.149,1196.861,1292.157,1333.455,1373.968,1440.593,1542.108,1623.198,1743.245,1864.183,1994.387,706.0
1,ga,CEID-Walk,2020-08-09,2020-08-15,173.916,197.759,232.141,257.196,284.134,304.295,316.441,324.354,334.776,343.35,355.156,363.069,369.586,378.505,382.762,393.233,398.915,405.726,421.671,439.138,478.908,524.289,546.715,483.0
2,ga,CEID-Walk,2020-08-09,2020-08-22,164.238,169.933,216.634,257.388,271.666,289.483,294.269,305.737,321.177,330.447,334.732,354.847,367.172,374.596,390.477,408.429,428.556,441.907,467.444,484.631,501.098,529.468,580.889,423.0
3,ga,CEID-Walk,2020-08-09,2020-08-29,95.407,147.557,175.097,216.212,260.073,281.65,288.328,300.051,322.293,333.251,348.462,361.938,373.77,398.412,413.06,420.491,437.223,452.024,479.648,502.137,525.073,547.477,594.837,484.0
4,ga,CEID-Walk,2020-08-09,2020-09-05,66.559,117.04,155.993,212.631,230.277,253.362,276.836,293.009,320.47,340.01,355.343,370.93,385.687,398.961,424.772,446.437,464.809,481.224,501.258,534.126,580.072,615.204,637.575,401.0
1,hi,CEID-Walk,2020-08-09,2020-08-15,0.0,0.0,0.0,0.647,1.956,2.374,3.14,3.578,4.238,4.625,5.04,5.68,5.912,6.041,6.68,7.114,8.37,8.901,9.444,10.194,11.742,12.991,15.082,9.0
